GFA,Class
Zr55Al25Co20,BMG
Zr58Ni26.6Al15.4,BMG
Zr60Al15Ni25,BMG
Zr65Cu12.5Be22.5,BMG
Zr66Al8Ni26,BMG
(Ce72Cu28)75Al10Fe15,BMG
(Ce72Cu28)85Al10Fe5,BMG
(Cu50Zr42.5Ti7.5)99Si1,BMG
(Cu50Zr42.5Ti7.5)99Sn1,BMG
(Cu60Hf25Ti15)92Nb8,BMG
(Cu60Hf25Ti15)94Nb6,BMG
(Cu60Hf25Ti15)96Nb4,BMG
(Cu60Hf25Ti15)98Nb2,BMG
(Cu50Zr43Al7)98.5Si1.5,BMG
(Cu50Zr43Al7)98Si2,BMG
(Cu50Zr43Al7)99.5Si0.5,BMG
(Cu50Zr43Al7)99Si1,BMG
(Cu50Zr50)86Al7Be7,BMG
(Cu50Zr50)90Al7Gd3,BMG
(Cu50Zr50)92Al7Gd1,BMG
(Cu60Zr30Ti10)90Be10,BMG
(Cu60Zr30Ti10)98Y2,BMG
(Cu60Zr30Ti10)99Sn1,BMG
(Fe75B15Si10)96Nb4,BMG
(Fe75B15Si10)98Nb2,BMG
(Fe75B15Si10)99Nb1,BMG
(Fe75B15Si10)99Zr1,BMG
(Fe0.75B0.20Si0.05)96Nb4,BMG
(Fe72Mo4B24)93Dy7,BMG
(Fe72Mo4B24)94Dy6,BMG
(Fe72Mo4B24)95Dy5,BMG
(Fe72Mo4B24)96Dy4,BMG
(Fe80Co20)71Nb6B23,BMG
(Mg65Cu25Gd10)95Ti5,BMG
(Mg65Cu25Gd10)97Sn3,BMG
(Mg65Cu25Gd10)97Ti3,BMG
(Mg65Cu25Gd10)99Sn1,BMG
(Mg65Cu25Gd10)99Ti1,BMG
(Ni0.75B0.20Si0.05)96Nb4,BMG
(Ti45Cu37.8Zr10Ni7.2,BMG
Zr62Cu23Fe5Al10,BMG
Ag30.8Mg23.1Ca30.7Cu15.4,BMG
Ag30.8Mg30.8Ca30.7Cu7.7,BMG
Ag38.4Mg30.8Ca23.1Cu7.7,BMG
Ag38.4Mg38.5Ca15.4Cu7.7,BMG
Ag38.5Mg23Ca30.8Cu7.7,BMG
Ag46.2Mg15.4Ca30.7Cu7.7,BMG
Ag46.2Mg23.1Ca23Cu7.7,BMG
Ag50Mg11.5Ca30.8Cu7.7,BMG
Ag50Mg19.2Ca23.1Cu7.7,BMG
Ag53.8Mg15.4Ca23.1Cu7.7,BMG
Ag53.8Mg23.1Ca15.4Cu7.7,BMG
Ag53.8Mg7.7Ca30.8Cu7.7,BMG
Al86Ni9La2.5Ce2.5,BMG
Al88Ni9Ce2Fe1,BMG
Au46Ag5Cu29Si20,BMG
Au52Pd2.3Cu29.2Si16.5,BMG
Au70Cu5.5Ag7.5Si17,BMG
Ca47Mg19Zn7Cu27,BMG
Ca50Mg10Zn15Cu25,BMG
Ca50Mg15Zn10Cu25,BMG
Ca50Mg20Zn5Cu25,BMG
Ca50Mg25Zn15Cu10,BMG
Ca55Mg11Zn11Cu23,BMG
Ca65Li9.96Mg8.54Zn16.5,BMG
Ca65Mg8.31Li9.69Zn17,BMG
Ce60Al15Ni15Cu10,BMG
Ce68Al10Cu20Co2,BMG
Ce68Al10Cu20Fe2,BMG
Ce68Al10Cu20Nb2,BMG
Ce68Al10Cu20Ni2,BMG
Ce69.5Al10Cu20Co0.5,BMG
Ce69.8Al10Cu20Co0.2,BMG
Ce69Al10Cu20Co1,BMG
Ce70Al10Cu10Ni10,BMG
Co43Fe20Ta5.5B31.5,BMG
Cu34Zr50Ag8Al8,BMG
Cu35Ag25Zr30Ti10,BMG
Cu38Zr46Ag8Al8,BMG
Cu40Ag20Zr30Ti10,BMG
Cu40Zr40Ag10Al10,BMG
Cu40Zr44Ag8Al8,BMG
Cu42Zr42Ag8Al8,BMG
Cu43Zr40Ag7Ti10,BMG
Cu43Zr43Ag7In7,BMG
Cu43Zr43Ag7Ti7,BMG
Cu43Zr43Al7Ag7,BMG
Cu43Zr43Al7Be7,BMG
Cu44Zr44Ag6Al6,BMG
Cu45Ag15Zr30Ti10,BMG
Cu45Zr15Ag10Hf30,BMG
Cu45Zr25Ag10Hf20,BMG
Cu45Zr35Ag10Hf10,BMG
Cu45Zr45Ag3Al7,BMG
Cu45Zr45Ag5Al5,BMG
Cu45Zr45Ag7Al3,BMG
Cu46.4Ag11.6Zr35Ti7,BMG
Cu46Zr37Al7Y10,BMG
Cu46Zr42Al7Y5,BMG
Cu46Zr44Al7Y3,BMG
Cu46Zr45Al7Y2,BMG
Cu47Ni13Zr30Ti10,BMG
Cu47Zr43Al7Ag3,BMG
Cu47Zr43Al7Be3,BMG
Cu49Zr36Ag10Ti5,BMG
Cu50Ag10Zr30Ti10,BMG
Cu54Ag6Zr33Ti7,BMG
Cu55Ag5Zr30Ti10,BMG
Cu55Ni5Zr30Ti10,BMG
Cu55Zr30Ti10Co5,BMG
Cu60Zr20Hf10Ti10,BMG
Cu60Zr29Ti10Sn1,BMG
Dy40Y16Al24Co20,BMG
Dy46Y10Al24Co20,BMG
Er36Y20Al24Co20,BMG
Er50Al24Co20Y6,BMG
Fe55.8Co14.2Nb6B24,BMG
Fe56.05Co13.45Nb5.5B25,BMG
Fe56.8Co14.2Nb5B24,BMG
Fe56Co16Y6B22,BMG
Fe58Co14Y6B22,BMG
Fe60Co12Y6B22,BMG
Fe62Co10Y6B22,BMG
Fe64Co8Y6B22,BMG
Fe66Co6Y6B22,BMG
Fe66W6Y6B22,BMG
Fe67Mo5Y6B22,BMG
Fe67Ni5Y6B22,BMG
Fe67W5Y6B22,BMG
Fe68Co4Y6B22,BMG
Fe68Mo4Y6B22,BMG
Fe68Ni4Y6B22,BMG
Fe68W4Y6B22,BMG
Fe69Mo3Y6B22,BMG
Fe69Ni3Y6B22,BMG
Fe69W3Y6B22,BMG
Fe70Co2Y6B22,BMG
Fe70Mo2Y6B22,BMG
Fe70Ni2Y6B22,BMG
Fe70W2Y6B22,BMG
Fe71Mo1Y6B22,BMG
Fe71Ni1Y6B22,BMG
Fe71W1Y6B22,BMG
Fe72Nb4B20Si4,BMG
Fe72W1Y5B22,BMG
Fe72W2Y4B22,BMG
Fe72W3Y3B22,BMG
Fe73Nb4Hf3Y0B20,BMG
Fe74Nb6Y3B17,BMG
Fe76Si9B10P5,BMG
Gd36Al24Co20Y20,BMG
Gd40Y16Al24Co20,BMG
Gd55Al25Cu10Co10,BMG
Gd55Ni22Mn3Al20,BMG
Hf47Cu29.25Ni9.75Al14,BMG
Hf48Cu29.25Ni9.75Al13,BMG
Hf51Cu27.75Ni9.25Al12,BMG
Ho30Al24Co20Y26,BMG
Ho35Y21Al24Co20,BMG
Ho39Al25Co20Y16,BMG
Ho40Al22Co22Y16,BMG
La55.4Al18.4(Cu50Ni50)26.2,BMG
La55Al15Ag10Cu20,BMG
La55Al17.5Ag7.5Cu20,BMG
La55Al20Ag5Cu20,BMG
La55Al25Ag5Cu15,BMG
La55Al25Ni10Cu10,BMG
La55Al25Ni15Cu5,BMG
La55Al25Ni5Cu15,BMG
La55.4Al18.4(Cu50Ni50)26.2,BMG
La57.6Al17.5(Cu50Ni50)24.9,BMG
La58.6Al17.0(Cu50Ni50)24.4,BMG
La59.6Al16.6(Cu50Ni50)23.8,BMG
La60.5Al16.3(Cu50Ni50)23.2,BMG
La60Al15Ag5Cu20,BMG
La61.4Al15.9(Cu50Ni50)22.7,BMG
La62.0Al15.6(Cu50Ni50)22.4,BMG
La62.5Al12.5Ag5Cu20,BMG
La62Al14Cu16Ag8,BMG
La62Al14Cu17Ag7,BMG
La62Al14Cu18Ag6,BMG
La62Al14Cu19Ag5,BMG
La62Al14Cu20Ag4,BMG
La62Al14Cu22Ag2,BMG
La62Cu12Ni12Al14,BMG
La62Cu24Al10.5Mg3.5,BMG
La62Cu24Al10.8Mg3.2,BMG
La62Cu24Al11.2Mg2.8,BMG
La62Cu24Al9.0Mg5.0,BMG
La62Cu24Al9.8Mg4.2,BMG
La63.1Al15.2(Cu50Ni50)21.7,BMG
La64.6Al14.6(Cu50Ni50)20.8,BMG
La65Al10Ag5Cu20,BMG
La66Al14Cu10Ni10,BMG
La68.0Al13.2(Cu50Ni50)18.8,BMG
La68Al10Cu20Co2,BMG
La68Al14(Cu50Ni50)18,BMG
La70.0Al12.4(Cu50Ni50)17.6,BMG
La70Al14(Cu50Ni50)16,BMG
Lu39Y16Al25Co20,BMG
Mg54Cu26.5Ag8.5Gd11,BMG
Mg55Cu25Ag10Gd10,BMG
Mg57Cu31.5Y8Nd3.5,BMG
Mg57Cu31.5Y9.2Nd2.3,BMG
Mg57Cu31Y6.6Nd5.4,BMG
Mg58Cu27Y10Zn5,BMG
Mg59.5Cu22.9Ag6.6Gd11,BMG
Mg60Cu25Gd10Zn5,BMG
Mg60Ni23.6Y0.25La16.15,BMG
Mg60Ni23.6Y0.5La15.9,BMG
Mg60Ni23.6Y0.75La15.65,BMG
Mg60Ni23.6Y1La15.4,BMG
Mg65Cu15Ag10Er10,BMG
Mg65Cu15Ag10Gd10,BMG
Mg65Cu20Ni5Gd10,BMG
Mg65Cu20Y10Zn5,BMG
Mg65Cu25Gd5Y5,BMG
Mg65Cu25Y8Gd2,BMG
Mg65Cu25Y9Gd1,BMG
Mg68Ni15Gd10Ag7,BMG
Mg69Ni15Gd10Ag6,BMG
Mg70Ni15Gd10Ag5,BMG
Mg71Ni15Gd10Ag4,BMG
Mg73Ni15Gd10Ag2,BMG
Mg74Ni15Gd10Ag1,BMG
Mo40Co20Fe20B20,BMG
Nd60Fe20Co10Al10,BMG
Ni45Ti20Zr25Al10,BMG
Ni59Zr20Ti16Si5,BMG
Ni59Zr20Ti16Sn5,BMG
Ni60Sn6(Nb60Ta40)34,BMG
Ni60Sn6(Nb80Ta20)34,BMG
Ni61Zr28Nb7Al4,BMG
Pd37.5Cu30Ni12.5P20,BMG
Pd39.1Ni10.1Cu29.9P20.9,BMG
Pd39Ni10Cu30P21,BMG
Pd40Cu25Ni15P20,BMG
Pd40Cu30Ni10P20,BMG
Pd40Cu32.5Ni7.5P20,BMG
Pd42.5Cu27.5Ni10P20,BMG
Pd42.5Cu30Ni7.5P20,BMG
Pd42Cu30Ni10P18,BMG
Pd43Cu27Ni10P20,BMG
Pd45Cu25Ni10P20,BMG
Pd45Cu30Ni5P20,BMG
Pd79Cu6Si10P5,BMG
Pr55Al12Fe30Cu3,BMG
Pr60Al10Ni10Cu20,BMG
Pr60Al10Ni10Fe20,BMG
Pr60Cu17Ni8Al15,BMG
Pr68(Cu50Ni50)25Al7,BMG
Pr72(Cu50Ni50)21Al7,BMG
Pr72(Cu50Ni50)25Al3,BMG
Pt42.5Cu27Ni9.5P21,BMG
Pt57.5Cu14.7Ni5.3P22.5,BMG
Pt57.5Cu14.7Ni5P22.8,BMG
Pt60Cu16Co2P22,BMG
Sc36Al24Co20Y20,BMG
Sm40Y15Al25Co20,BMG
Sr50Mg20Zn20Cu10,BMG
Sr60Li5Mg15Zn20,BMG
Sr60Mg20Zn15Cu5,BMG
Tb36Y20Al24Co20,BMG
Ti34Zr11Cu47Ni8,BMG
Ti40Zr10Cu30Pd20,BMG
Ti40Zr10Cu32Pd18,BMG
Ti40Zr10Cu34Pd16,BMG
Ti40Zr10Cu36Pd14,BMG
Ti40Zr10Cu38Pd12,BMG
Ti40Zr10Cu40Pd10,BMG
Ti45Zr20Be30Cr5,BMG
Ti47.5Zr2.5Cu42.5Ni7.5,BMG
Ti50Cu23Ni20Sn7,BMG
Ti50Ni15Cu32Sn3,BMG
Tm27.5Y27.5Al25Co20,BMG
Tm39Y16Al25Co20,BMG
Tm40Zr15Al25Co20,BMG
Tm45Y10Al25Co20,BMG
W45Ru36B17Hf2,BMG
W46Ru37B12Si5,BMG
Y36Sc20Al24Co20,BMG
Y4Fe72B22Hf2,BMG
Y4Fe72B22Nb2,BMG
Y4Fe72B22Ta2,BMG
Y4Fe72B22Ti2,BMG
Yb62.5Zn15Mg17.5Cu5,BMG
Zn40Mg11Ca31Yb18,BMG
Zr35Ti30Cu7.5Be27.5,BMG
Zr35Ti30Cu8.25Be26.75,BMG
Zr45.25Cu46.25Al7.5Sn1,BMG
Zr46Cu37.64Ag8.36Al8,BMG
Zr48Cu36Al8Ag8,BMG
Zr48Cu37Al7Ag8,BMG
Zr48Cu40Al7Ag5,BMG
Zr48Cu42Al7Ag3,BMG
Zr48Cu43Al7Ag2,BMG
Zr49Ti14Ni20Cu17,BMG
Zr49Ti17Ni20Cu14,BMG
Zr51Cu20.7Ni12Al16.3,BMG
Zr55Al10Cu30Ni5,BMG
Zr55Al15Co2.5Cu27.5,BMG
Zr55Al15Co5Cu25,BMG
Zr55Al15Co7.5Cu22.5,BMG
Zr55Al19Co19Cu7,BMG
Zr55Al20Co17.5Cu7.5,BMG
Zr55Al20Co20Cu5,BMG
Zr55Al20Co22.5Cu2.5,BMG
Zr60.525Cu19.35Ni10.125Al10,BMG
Zr61.5Al10.7Cu13.65Ni14.15,BMG
Zr61.88Al10Ni10.12Cu18,BMG
Zr61Cu18.3Ni12.8Al7.9,BMG
Zr62.325Cu17.55Ni10.125Al10,BMG
Zr62.5Al12.1Cu7.95Ni17.45,BMG
Zr62Cu15.5Ni12.5Al10,BMG
Zr63.5Al10.7Cu10.7Ni15.1,BMG
Zr63Al11.4Cu9.3Ni16.3,BMG
Zr64.13Al10Ni10.12Cu15.75,BMG
Zr64.13Cu13.5Ni12.37Al10,BMG
Zr64Al10.1Cu11.7Ni14.2,BMG
Zr65.025Cu14.85Ni10.125Al10,BMG
Zr65.5Al5.6Ni6.5Cu22.4,BMG
Zr65Al10Ni10Cu15,BMG
Zr65Al7.5Cu17.5Ni10,BMG
Zr65Al8.7Cu14.4Ni11.9,BMG
Zr66Al8Cu12Ni14,BMG
Zr66Al8Cu7Ni19,BMG
Zr66Al9Cu16Ni9,BMG
Zr70Al8Cu11Ni11,BMG
Zr70Al8Cu13.5Ni8.5,BMG
Zr70Al8Cu16Ni6,BMG
Zr70Al8Cu19Ni3,BMG
Zr70Al8Cu3Ni19,BMG
Zr70Al8Cu6Ni16,BMG
(Ce10La90)68Al10Cu20Co2,BMG
(Ce20La80)68Al10Cu20Co2,BMG
(Ce30La70)68Al10Cu20Co2,BMG
(Ce40La60)68Al10Cu20Co2,BMG
(Ce50La50)68Al10Cu20Co2,BMG
(Ce60La40)68Al10Cu20Co2,BMG
(Ce70La30)68Al10Cu20Co2,BMG
(Ce80La20)68Al10Cu20Co2,BMG
(Ce90La10)68Al10Cu20Co2,BMG
(Cu50Zr42.5Ti7.5)98.8Sn0.6Si0.6,BMG
(Cu46Zr42Al7Y5)96Cr4,BMG
(Cu46Zr42Al7Y5)96Sn4,BMG
(Fe68Tb7B20Si5)96Nb4,BMG
(Fe69Tb6B20Si5)96Nb4,BMG
(Fe70Tb5B20Si5)96Nb4,BMG
(Fe71Tb4B20Si5)96Nb4,BMG
(Fe72Tb3B20Si5)96Nb4,BMG
(Fe73Tb2B20Si5)96Nb4,BMG
(Fe74Tb1B20Si5)96Nb4,BMG
(Fe72Nb4B20Si4)96Y4,BMG
(Fe72Nb4B20Si4)97Y3,BMG
(Fe72Nb4B20Si4)98Y2,BMG
(Fe72Nb4B20Si4)99Y1,BMG
Fe74.08Si3.45C12.72Tm0.63P9.1,BMG
Fe75.28Si3.51C12.93Tm0.64P7.63,BMG
(La33.33Pr33.33Nd33.33)67.5Al10Cu22.5,BMG
(Ti45Cu37.8Zr10Ni7.2)94Sn6,BMG
(Ti45Cu37.8Zr10Ni7.2)96Sn4,BMG
(Ti45Cu37.8Zr10Ni7.2)98Sn2,BMG
(Zr55Al20Co20Cu5)93Ag7,BMG
(Zr55Al20Co20Cu5)95Ag5,BMG
(Zr55Al20Co20Cu5)97Ag3,BMG
(Zr55Al20Co20Cu5)99Ag1,BMG
(Zr59Ti6Cu22Ni13)84Al16,BMG
(Zr59Ti6Cu22Ni13)85.7Al14.3,BMG
(Zr59Ti6Cu22Ni13)88Al12,BMG
(Zr62Cu23Fe5Al10)93Ag7,BMG
(Zr62Cu23Fe5Al10)95Ag5,BMG
(Zr62Cu23Fe5Al10)97Ag3,BMG
(Zr62Cu23Fe5Al10)99Ag1,BMG
(Zr55Al15Cu20Ni10)96Y4,BMG
(Zr55Al15Cu20Ni10)98Y2,BMG
(Zr58.9Ti5.6Cu22.2Ni13.3)84Al16,BMG
(Zr58.9Ti5.6Cu22.2Ni13.3)88Al12,BMG
(Zr50Nb50)70.7(Cu33.33Ni33.33Al33.33)29.3,BMG
(Zr50Nb50)72.8(Cu33.33Ni33.33Al33.33)27.2,BMG
(Zr50Nb50)73.4(Cu33.33Ni33.33Al33.33)26.6,BMG
[(Co60Fe40)0.75B0.2Si0.05]96Nb4,BMG
[(Co70Fe30)0.75B0.20Si0.05]96Nb4,BMG
[(Co80Fe20)0.75B0.20Si0.05]96Nb4,BMG
[(Co90Fe10)0.75B0.20Si0.05]96Nb4,BMG
[(Fe50Co50)0.75B0.20Si0.05]96Nb4,BMG
[(Fe50Co50)0.72Mo0.04B0.24]94Dy6,BMG
[(Fe60Co40)0.75B0.20Si0.05]96Nb4,BMG
[(Fe60Co40)0.72Mo0.04B0.24]94Dy6,BMG
[(Fe0.7Co0.3)0.75B0.20Si0.05]96Nb4,BMG
