Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
Fe77Mo2P10C4B4Si3 [43],742,783,1264,2.5,0.587,41,0.39032,0.65187,0.07854,1.4998,0.38797,0.61944,1.6423,2.5106,4.8105
Fe76Mo3P10C4B4Si3 [43],750,793,1250,3.5,0.6,43,0.3965,0.6688,0.086,1.586,0.39866,0.6344,1.6573,2.8478,5.1079
Fe75Mo4P10C4B4Si3 [43],752,799,1227,4,0.613,47,0.40379,0.68963,0.099,1.683,0.41236,0.65131,1.6755,3.2838,5.5217
Fe74Mo5P10C4B4Si3 [43],758,799,1263,3,0.6,41,0.39528,0.66491,0.08113,1.5811,0.39535,0.63245,1.6541,2.809,5.0331
(Fe0.75B0.15Si0.10)99Zr1 [44],867,919,1469,0.75,0.59,52,0.39332,0.66077,0.08631,1.5253,0.39455,0.62539,1.65,2.6293,4.9682
(Fe0.75B0.15Si0.10)99Nb1 [44],815,858,1455,0.5,0.56,43,0.37791,0.61909,0.06715,1.3399,0.36769,0.58955,1.6128,1.9596,4.3116
(Fe0.75B0.15Si0.10)98Nb2 [44],812,870,1425,1,0.57,58,0.38899,0.65143,0.09468,1.4203,0.39082,0.61071,1.6414,2.2971,4.8258
(Fe0.75B0.15Si0.10)96Nb4 [44],835,885,1369,1.5,0.61,50,0.40157,0.68305,0.09366,1.6578,0.40783,0.64653,1.6699,3.1565,5.3839
Ni60Nb30Ta10 [24],934,961,1559,2,0.5991,27,0.38548,0.63374,0.0432,1.5376,0.36093,0.61642,1.628,2.51,4.4922
Ni61Zr28Nb7Al4 [24],848,898,1348,1,0.62908,50,0.40893,0.70326,0.1,1.796,0.41966,0.66617,1.688,3.7605,5.8137
Ni61Zr22Nb7Al4Ta6 [24],867,927,1379,2,0.62872,60,0.41273,0.71574,0.11719,1.8105,0.42913,0.67223,1.6979,3.9339,6.1261
Ni59Zr20Ti16Si5 [24],830,876,1304,2,0.6365,46,0.4105,0.70706,0.09705,1.8481,0.42087,0.67178,1.6919,3.9691,5.896
Ni59Zr20Ti16Sn5 [24],819,854,1288,1,0.63587,35,0.40532,0.69022,0.07463,1.8209,0.40511,0.66304,1.6786,3.7133,5.5064
Ni59Zr20Ti16Si2Sn3 [24],821,877,1272,3,0.64544,56,0.41902,0.73349,0.12417,1.9446,0.43964,0.68947,1.7136,4.6148,6.5952
Ni42Ti20Zr25Al8Cu5 [24],748,803,1366,0.5,0.54758,55,0.37985,0.62811,0.089,1.2994,0.37701,0.58785,1.6211,1.895,4.4674
Ni42Ti20Zr22.5Al8Cu5Si2.5 [24],767,833,1367,2,0.56108,66,0.39035,0.65764,0.11,1.3883,0.39509,0.60936,1.6471,2.2406,4.9522
Ni42Ti20Zr21.5Al8Cu5Si3.5 [24],774,846,1366,2.5,0.56662,72,0.39533,0.67204,0.12162,1.4291,0.40346,0.61933,1.6596,2.4216,5.2211
Ni42Ti20Zr20.5Al8Cu5Si4.5 [24],763,856,1364,2,0.55938,93,0.40244,0.69575,0.15474,1.4243,0.414,0.62757,1.6813,2.5309,5.75
Ni42Ti19Zr22.5Al8Cu5Si3.5 [24],780,846,1363,3,0.57227,66,0.39477,0.66911,0.11321,1.4511,0.402,0.62069,1.6569,2.4688,5.1537
Ni60Nb40 [24],891,924,1478,1,0.60284,33,0.39004,0.6475,0.05622,1.5741,0.37629,0.62517,1.6399,2.6824,4.7154
Ni60Nb35Zr5 [24],887,911,1458,1.5,0.60837,24,0.38849,0.64129,0.04203,1.5954,0.36306,0.62483,1.6354,2.7006,4.6051
Ni60Nb30Zr10 [24],875,902,1413,2,0.61925,27,0.39423,0.65747,0.05019,1.6766,0.37657,0.63836,1.6501,3.0225,4.8731
Ni60Nb25Zr15 [24],860,891,1390,1.5,0.61871,31,0.396,0.66331,0.05849,1.6811,0.38469,0.64101,1.6548,3.0773,4.981
Ni60Nb20Zr20 [24],853,891,1391,0.5,0.61323,38,0.39706,0.66786,0.07063,1.6561,0.39301,0.64055,1.6578,3.0401,5.0735
Ni60Zr20Ti2.5Nb12.5Al5 [45],836,897,1378,2,0.6067,61,0.4052,0.6952,0.1126,1.655,0.4172,0.6509,1.6796,3.2412,5.6561
Ni60Zr20Ti5Nb10Al5 [45],826,896,1379,2,0.599,70,0.4064,0.7005,0.1266,1.6203,0.4209,0.6498,1.6837,3.1724,5.7914
Ni60Zr20Ti7.5Nb7.5Al5 [45],824,885,1385,2,0.595,61,0.4006,0.683,0.1087,1.5775,0.41,0.639,1.669,2.917,5.4044
(Ni0.75B0.2Si0.05)96Nb4 [46],770,795,1446,0.5,0.533,25,0.35875,0.56708,0.03698,1.176,0.32618,0.54979,1.565,1.4444,3.6549
[(Ni0.9Fe0.1)0.75B0.2Si0.05]96Nb4 [46],762,795,1408,1,0.541,33,0.36636,0.58807,0.05108,1.2307,0.34545,0.56463,1.5845,1.6121,3.9034
[(Ni0.8Fe0.2)0.75B0.2Si0.05]96Nb4 [46],755,795,1381,2,0.547,40,0.37219,0.60463,0.0639,1.27,0.35917,0.57567,1.5997,1.7479,4.1194
[(Ni0.7Fe0.3)0.75B0.2Si0.05]96Nb4 [46],750,795,1356,2.5,0.553,45,0.37749,0.61947,0.07426,1.3119,0.36989,0.58628,1.6131,1.8945,4.3263
[(Ni0.6Fe0.4)0.75B0.2Si0.05]96Nb4 [46],745,795,1348,3,0.553,50,0.37984,0.62685,0.08292,1.3184,0.37558,0.58976,1.6198,1.9367,4.4403
